Month,Day,max,min,mean
12,12,6.86,6.54,6.7
12,13,7.17,6.23,6.7
12,14,6.39,6.07,6.19
12,15,6.23,5.92,6.075
12,16,6.23,5.92,6.035
12,17,6.07,5.76,5.9175
12,18,6.23,5.92,6.075
12,19,6.54,6.23,6.385
12,20,6.86,6.54,6.7
12,21,6.7,6.39,6.5825
12,22,6.54,5.92,6.27
12,23,6.23,5.92,6.1125
12,24,6.07,5.76,5.8775
12,25,6.54,5.92,6.2675
12,26,6.54,6.23,6.425
12,27,6.39,5.76,6.1925
12,28,5.29,4.98,5.2125
12,29,5.76,5.14,5.4125
12,30,6.39,5.76,6.035
12,31,6.7,6.23,6.425
